Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
250,2790_1516 INT SCHMIDT HOME,001,7770 ,05/24/11,AMERICAN EXPRESS,TAX,AX,ARIES 3 DRWR CHEST_C.S.F.,28.00
251,2790_1516 INT SCHMIDT HOME,001,7776 ,05/24/11,AMERICAN EXPRESS,LP,AX,LAMP_CHRISTIAN ST FURN.,195.00
252,2790_1516 INT SCHMIDT HOME,001,7776 ,05/24/11,AMERICAN EXPRESS,TAX,AX,LAMP_CHRISTIAN ST FURN.,17.06
253,2790_1516 INT SCHMIDT HOME,001,7776 ,05/24/11,AMERICAN EXPRESS,LP,AX,HAMPTON CONSOLE TBL_CHRISTIAN,695.00
254,2790_1516 INT SCHMIDT HOME,001,7776 ,05/24/11,AMERICAN EXPRESS,TAX,AX,HAMPTON CONSOLE TBL_CHRISTIAN,60.82
255,2790_1516 INT SCHMIDT HOME,001,7778 ,05/24/11,AMERICAN EXPRESS,LP,AX,GOLD GYM STATIONARY BIKE_WALMA,247.00
256,2790_1516 INT SCHMIDT HOME,001,7778 ,05/24/11,AMERICAN EXPRESS,TAX,AX,GOLD GYM STATIONARY BIKE_WALMA,22.23
257,2790_1516 INT SCHMIDT HOME,001,7784 ,05/24/11,AMERICAN EXPRESS,LP,AX,2X ROCKFORD CHAIR_C.S.F.,2068.96
258,2790_1516 INT SCHMIDT HOME,001,7784 ,05/24/11,AMERICAN EXPRESS,TAX,AX,2X ROCKFORD CHAIR_C.S.F.,181.03 
259,2790_1516 INT SCHMIDT HOME,001,7784 ,05/24/11,AMERICAN EXPRESS,LP,AX,STEVEN SHELL DESK_C.S.F.,295.00 
260,2790_1516 INT SCHMIDT HOME,001,7784 ,05/24/11,AMERICAN EXPRESS,TAX,AX,STEVEN SHELL DESK_C.S.F.,25.82 
261,2790_1516 INT SCHMIDT HOME,001,8182 ,05/26/11,BANNER CREATIONS INC,XX,AP,CLOTH VALANCE BNNR CREATIONS,174.00 
262,2790_1516 INT SCHMIDT HOME,001,8182 ,05/26/11,BANNER CREATIONS INC,XX,AP,PREP PRINT FOR VALANCE,40.00 
263,2790_1516 INT SCHMIDT HOME,001,9591 ,06/02/11,AMERICAN EXPRESS,LP,AX,2X MADERA END TBLS_COSTPLUS,279.98 
264,2790_1516 INT SCHMIDT HOME,001,9591 ,06/02/11,AMERICAN EXPRESS,TAX,AX,2X MADERA END TBLS_COSTPLUS,24.50 
265,2790_1516 INT SCHMIDT HOME,001,9595 ,06/02/11,AMERICAN EXPRESS,LP,AX,KITCHEN AID 5SPD BLENDER_BBB,99.99 
266,2790_1516 INT SCHMIDT HOME,001,9595 ,06/02/11,AMERICAN EXPRESS,TAX,AX,KITCHEN AID 5SPD BLENDER_BBB,8.75 
267,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,LP,AX,5X CANE CHRS_COSTPLUP,649.95 
268,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,TAX,AX,5X CANE CHRS_COSTPLUP,56.87 
269,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,LP,AX,KENSINGTON DIN TBL_COSTPLUS,499.99 
270,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,TAX,AX,KENSINGTON DIN TBL_COSTPLUS,43.75 
271,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,LP,AX,4X6 GRY/BLU KILIM RUG_COSTPLUS,149.99 
272,2790_1516 INT SCHMIDT HOME,001,10346 ,06/08/11,AMERICAN EXPRESS,TAX,AX,4X6 GRY/BLU KILIM RUG_COSTPLUS,13.12 
273,2790_1516 INT SCHMIDT HOME,001,10971 ,06/09/11,UPTOWN GRAPHICS,LP,AP,1X DGTL SCN W/CLR  UPTOWN GRP,150.00 
274,2790_1516 INT SCHMIDT HOME,001,10971 ,06/09/11,UPTOWN GRAPHICS,TAX,AP,1X DGTL SCN W/CLR  UPTOWN GRP,13.50 
275,2790_1516 INT SCHMIDT HOME,001,10971 ,06/09/11,UPTOWN GRAPHICS,LP,AP,5X 49X36 CNVS PRNTS  UPTOWN GR,735.00 
276,2790_1516 INT SCHMIDT HOME,001,10971 ,06/09/11,UPTOWN GRAPHICS,TAX,AP,5X 49X36 CNVS PRNTS  UPTOWN GR,66.15 
277,2790_1516 INT SCHMIDT HOME,001,11409 ,06/10/11,AMERICAN EXPRESS,LP,AX,RND SIDETBLE_POTTERYBARN,199.20 
